name,acronym,AP_location,DV_location,ML_location,avIndex
Periaqueductal gray,PAG,-4.2,2.57,0.09,839
Pontine reticular nucleus,PRNr,-4.2,5.36,0.42,932
Pontine reticular nucleus,PRNr,-4.2,5.43,0.74,932
Midbrain reticular nucleus,MRN,-4.2,3.67,1.04,827
Anterior tegmental nucleus,AT,-4.28,4.55,-0.29,861
Pontine reticular nucleus,PRNr,-4.36,5.67,-0.87,932
Pontine reticular nucleus,PRNr,-4.36,5.57,-0.84,932
Midbrain,MB,-4.36,4.35,0.14,807
Midbrain reticular nucleus,MRN,-4.36,3.98,0.77,827
Motor nucleus of trigeminal,V,-4.44,5.25,-1.77,920
Cuneiform nucleus,CUN,-4.44,3.27,-1.04,853
Dorsal nucleus raphe,DR,-4.44,3.49,0.09,882
Periaqueductal gray,PAG,-4.44,3.94,0.37,839
Superior colliculus motor related deep gray layer,SCdg,-4.44,2.32,0.86,832
Midbrain,MB,-4.44,3,1.04,807
Peritrigeminal zone,P5,-4.44,5.24,1.34,921
Peritrigeminal zone,P5,-4.44,5.23,1.51,921
Peritrigeminal zone,P5,-4.52,5.44,-1.4,921
Pontine reticular nucleus,PRNr,-4.52,5.38,-1.16,932
Pontine reticular nucleus,PRNr,-4.52,5.12,-0.86,932
Pontine reticular nucleus,PRNr,-4.52,5.49,-0.78,932
Pontine reticular nucleus,PRNr,-4.52,5.52,-0.74,932
Pontine reticular nucleus caudal part,PRNc,-4.52,5.75,-0.58,914
Pontine reticular nucleus,PRNr,-4.52,5.49,-0.5,932
Midbrain,MB,-4.52,4.07,-0.23,807
Pontine reticular nucleus caudal part,PRNc,-4.52,6.38,0.72,914
Periaqueductal gray,PAG,-4.52,3.2,0.87,839
Midbrain,MB,-4.52,2.83,1.11,807
Peritrigeminal zone,P5,-4.52,5.05,1.33,921
Peritrigeminal zone,P5,-4.52,5.78,1.41,921
Peritrigeminal zone,P5,-4.52,5.32,1.47,921
Motor nucleus of trigeminal,V,-4.6,5.41,-1.71,920
Motor nucleus of trigeminal,V,-4.6,5.6,-1.67,920
Motor nucleus of trigeminal,V,-4.6,5.36,-1.64,920
Pons,P,-4.6,5.83,-1.58,884
Pontine reticular nucleus,PRNr,-4.6,5.15,-1.09,932
Cuneiform nucleus,CUN,-4.6,3.36,-1.07,853
Midbrain reticular nucleus,MRN,-4.6,3.99,-0.52,827
Pons,P,-4.6,5.86,0.25,884
Midbrain,MB,-4.6,3.98,0.44,807
Pontine reticular nucleus,PRNr,-4.6,4.84,0.57,932
Periaqueductal gray,PAG,-4.6,3.32,1.05,839
Supratrigeminal nucleus,SUT,-4.6,4.8,1.4,918
spinal tract of the trigeminal nerve,sptV,-4.68,5.59,-2.46,1130
Supratrigeminal nucleus,SUT,-4.68,4.96,-1.76,918
Motor nucleus of trigeminal,V,-4.68,5.14,-1.68,920
Motor nucleus of trigeminal,V,-4.68,5.04,-1.66,920
Peritrigeminal zone,P5,-4.68,5.59,-1.37,921
Parabrachial nucleus,PB,-4.68,4.65,-1.32,891
Peritrigeminal zone,P5,-4.68,5.49,-1.29,921
Pontine reticular nucleus caudal part,PRNc,-4.68,5.45,-1.07,914
Pontine reticular nucleus caudal part,PRNc,-4.68,5.18,-1.06,914
Pontine reticular nucleus,PRNr,-4.68,5,-0.95,932
Pontine reticular nucleus caudal part,PRNc,-4.68,6.03,-0.79,914
Pontine reticular nucleus caudal part,PRNc,-4.68,5.59,-0.51,914
Pontine reticular nucleus caudal part,PRNc,-4.68,5.96,-0.49,914
Pons,P,-4.68,5.98,0.17,884
Pontine reticular nucleus caudal part,PRNc,-4.68,5.73,0.66,914
Periaqueductal gray,PAG,-4.68,3.3,0.69,839
Pontine reticular nucleus caudal part,PRNc,-4.68,6.23,0.76,914
Peritrigeminal zone,P5,-4.68,4.88,1.35,921
Motor nucleus of trigeminal,V,-4.68,5.15,1.46,920
Motor nucleus of trigeminal,V,-4.68,5.22,1.6,920
Supratrigeminal nucleus,SUT,-4.68,4.83,1.63,918
Motor nucleus of trigeminal,V,-4.68,5.14,1.68,920
Motor nucleus of trigeminal,V,-4.68,5.55,1.72,920
Principal sensory nucleus of the trigeminal,PSV,-4.76,5.26,-2.39,890
Motor nucleus of trigeminal,V,-4.76,5.42,-1.77,920
Motor nucleus of trigeminal,V,-4.76,5.11,-1.75,920
Motor nucleus of trigeminal,V,-4.76,5.31,-1.68,920
Motor nucleus of trigeminal,V,-4.76,5.12,-1.6,920
Motor nucleus of trigeminal,V,-4.76,5.06,-1.59,920
Parabrachial nucleus,PB,-4.76,4.6,-1.57,891
Motor nucleus of trigeminal,V,-4.76,5,-1.48,920
Pons,P,-4.76,5.8,-1.44,884
Peritrigeminal zone,P5,-4.76,5.35,-1.38,921
Parabrachial nucleus,PB,-4.76,4.64,-1.36,891
Peritrigeminal zone,P5,-4.76,5.3,-1.35,921
Peritrigeminal zone,P5,-4.76,5.13,-1.32,921
Peritrigeminal zone,P5,-4.76,5.43,-1.26,921
Pontine reticular nucleus caudal part,PRNc,-4.76,6.1,-1.12,914
Pontine reticular nucleus caudal part,PRNc,-4.76,6.12,-0.95,914
Pontine reticular nucleus caudal part,PRNc,-4.76,6.52,-0.69,914
Pontine reticular nucleus caudal part,PRNc,-4.76,5.02,-0.45,914
Pontine reticular nucleus caudal part,PRNc,-4.76,5.26,0.5,914
Pontine reticular nucleus caudal part,PRNc,-4.76,5.71,0.6,914
Pontine reticular nucleus caudal part,PRNc,-4.76,5.14,0.85,914
Pontine reticular nucleus caudal part,PRNc,-4.76,5.99,0.89,914
Pontine reticular nucleus caudal part,PRNc,-4.76,5.08,1,914
Pontine reticular nucleus caudal part,PRNc,-4.76,6.24,1.25,914
Supratrigeminal nucleus,SUT,-4.76,4.87,1.42,918
Parabrachial nucleus,PB,-4.76,4.16,1.43,891
Motor nucleus of trigeminal,V,-4.76,5.33,1.47,920
Motor nucleus of trigeminal,V,-4.76,5.27,1.58,920
Motor nucleus of trigeminal,V,-4.76,5,1.59,920
Parabrachial nucleus,PB,-4.76,4.64,1.68,891
Motor nucleus of trigeminal,V,-4.76,5.55,1.68,920
Motor nucleus of trigeminal,V,-4.76,5.43,1.74,920
Supratrigeminal nucleus,SUT,-4.76,4.89,1.8,918
Principal sensory nucleus of the trigeminal,PSV,-4.84,5.33,-2.35,890
Supratrigeminal nucleus,SUT,-4.84,4.88,-1.72,918
Motor nucleus of trigeminal,V,-4.84,5.06,-1.73,920
Parabrachial nucleus,PB,-4.84,4.58,-1.68,891
Motor nucleus of trigeminal,V,-4.84,5.03,-1.62,920
Supratrigeminal nucleus,SUT,-4.84,4.87,-1.56,918
Parabrachial nucleus,PB,-4.84,4.52,-1.55,891
Pons,P,-4.84,5.91,-1.52,884
Supratrigeminal nucleus,SUT,-4.84,4.86,-1.47,918
Supratrigeminal nucleus,SUT,-4.84,4.89,-1.4,918
Pons,P,-4.84,5.91,-1.41,884
Peritrigeminal zone,P5,-4.84,5.59,-1.36,921
Peritrigeminal zone,P5,-4.84,5.13,-1.32,921
Peritrigeminal zone,P5,-4.84,4.88,-1.29,921
Peritrigeminal zone,P5,-4.84,5.38,-1.25,921
Accessory trigeminal nucleus,Acs5,-4.84,5.57,-1.23,922
Peritrigeminal zone,P5,-4.84,4.89,-1.22,921
Peritrigeminal zone,P5,-4.84,5.38,-1.2,921
Peritrigeminal zone,P5,-4.84,5.05,-1.17,921
Accessory trigeminal nucleus,Acs5,-4.84,5.55,-1.17,922
Pons,P,-4.84,4.69,-1.11,884
Pons,P,-4.84,4.59,-0.97,884
Pontine reticular nucleus caudal part,PRNc,-4.84,5.63,-0.7,914
Pontine reticular nucleus caudal part,PRNc,-4.84,5.41,-0.56,914
Pontine reticular nucleus caudal part,PRNc,-4.84,6.43,-0.12,914
Nucleus raphe magnus,RM,-4.84,6.47,0.03,1012
Pons,P,-4.84,4.68,0.78,884
Pontine reticular nucleus caudal part,PRNc,-4.84,5.67,0.85,914
Peritrigeminal zone,P5,-4.84,4.99,1.17,921
Peritrigeminal zone,P5,-4.84,5.23,1.17,921
Supratrigeminal nucleus,SUT,-4.84,4.85,1.19,918
Accessory trigeminal nucleus,Acs5,-4.84,5.63,1.2,922
Peritrigeminal zone,P5,-4.84,5.12,1.24,921
Peritrigeminal zone,P5,-4.84,5.21,1.26,921
Pons,P,-4.84,5.69,1.28,884
Motor nucleus of trigeminal,V,-4.84,5.26,1.39,920
Pons,P,-4.84,5.89,1.46,884
Motor nucleus of trigeminal,V,-4.84,5.11,1.63,920
Motor nucleus of trigeminal,V,-4.84,5.4,1.68,920
Supratrigeminal nucleus,SUT,-4.84,4.86,1.71,918
Motor nucleus of trigeminal,V,-4.84,5.4,1.74,920
Motor nucleus of trigeminal,V,-4.84,5.53,1.76,920
Principal sensory nucleus of the trigeminal,PSV,-4.92,5.22,-2.06,890
Principal sensory nucleus of the trigeminal,PSV,-4.92,5.07,-2.05,890
Intertrigeminal nucleus,I5,-4.92,5.08,-1.82,924
Supratrigeminal nucleus,SUT,-4.92,4.89,-1.69,918
Motor nucleus of trigeminal,V,-4.92,4.97,-1.6,920
Supratrigeminal nucleus,SUT,-4.92,4.75,-1.49,918
Motor nucleus of trigeminal,V,-4.92,5.14,-1.4,920
Peritrigeminal zone,P5,-4.92,5.6,-1.33,921
Motor nucleus of trigeminal,V,-4.92,5.13,-1.31,920
Pons,P,-4.92,5.62,-1.27,884
Pontine reticular nucleus caudal part,PRNc,-4.92,5.63,-0.83,914
crossed tectospinal pathway,tspc,-4.92,5.47,-0.39,1230
Nucleus raphe pontis,RPO,-4.92,5.38,0.04,933
Pontine reticular nucleus caudal part,PRNc,-4.92,6.43,0.4,914
Pontine reticular nucleus caudal part,PRNc,-4.92,6.48,0.44,914
Pontine reticular nucleus caudal part,PRNc,-4.92,5.62,0.5,914
Pontine reticular nucleus caudal part,PRNc,-4.92,5.39,0.53,914
Pontine reticular nucleus caudal part,PRNc,-4.92,6.44,0.69,914
Peritrigeminal zone,P5,-4.92,5.06,1.1,921
Supratrigeminal nucleus,SUT,-4.92,4.92,1.17,918
Peritrigeminal zone,P5,-4.92,5.31,1.23,921
Pons,P,-4.92,5.6,1.26,884
Motor nucleus of trigeminal,V,-4.92,4.96,1.37,920
Motor nucleus of trigeminal,V,-4.92,5.11,1.4,920
Motor nucleus of trigeminal,V,-4.92,5.18,1.44,920
Motor nucleus of trigeminal,V,-4.92,4.9,1.44,920
Motor nucleus of trigeminal,V,-4.92,5.11,1.61,920
Motor nucleus of trigeminal,V,-4.92,5.17,1.72,920
Motor nucleus of trigeminal,V,-4.92,5.58,1.77,920
Supratrigeminal nucleus,SUT,-4.92,4.9,1.83,918
Principal sensory nucleus of the trigeminal,PSV,-5,4.92,-2.29,890
Pons,P,-5,5.47,-2.26,884
Principal sensory nucleus of the trigeminal,PSV,-5,5.15,-2.19,890
Principal sensory nucleus of the trigeminal,PSV,-5,4.85,-1.97,890
Koelliker-Fuse subnucleus,KF,-5,4.77,-1.91,892
Pons,P,-5,4.84,-1.86,884
Pons,P,-5,4.97,-1.85,884
Pons,P,-5,4.79,-1.82,884
Motor nucleus of trigeminal,V,-5,5.35,-1.77,920
Supratrigeminal nucleus,SUT,-5,4.96,-1.74,918
Motor nucleus of trigeminal,V,-5,5.01,-1.72,920
Supratrigeminal nucleus,SUT,-5,4.92,-1.71,918
Motor nucleus of trigeminal,V,-5,5.14,-1.7,920
Motor nucleus of trigeminal,V,-5,4.99,-1.67,920
Supratrigeminal nucleus,SUT,-5,4.71,-1.64,918
superior cerebelar peduncles,scp,-5,4.4,-1.61,1175
Motor nucleus of trigeminal,V,-5,4.98,-1.58,920
Supratrigeminal nucleus,SUT,-5,4.76,-1.53,918
Supratrigeminal nucleus,SUT,-5,4.69,-1.42,918
Pons,P,-5,5.66,-1.4,884
Peritrigeminal zone,P5,-5,5.22,-1.17,921
Intermediate reticular nucleus,IRN,-5,6.1,-1.17,979
Pontine reticular nucleus caudal part,PRNc,-5,5.73,-1.02,914
Pontine reticular nucleus caudal part,PRNc,-5,5.18,-0.93,914
Pontine reticular nucleus caudal part,PRNc,-5,5.05,-0.84,914
Pontine reticular nucleus caudal part,PRNc,-5,6.47,-0.77,914
Pontine reticular nucleus caudal part,PRNc,-5,5.14,-0.7,914
Pontine reticular nucleus caudal part,PRNc,-5,5.24,-0.56,914
Pontine reticular nucleus caudal part,PRNc,-5,6.52,-0.37,914
Pons,P,-5,6.04,0.07,884
Pontine reticular nucleus caudal part,PRNc,-5,6.55,0.84,914
Pontine reticular nucleus caudal part,PRNc,-5,4.78,0.85,914
Peritrigeminal zone,P5,-5,5.28,1.15,921
Intermediate reticular nucleus,IRN,-5,6.12,1.18,979
Pons,P,-5,5.69,1.28,884
Peritrigeminal zone,P5,-5,5.49,1.31,921
Supratrigeminal nucleus,SUT,-5,4.91,1.38,918
Supratrigeminal nucleus,SUT,-5,4.83,1.48,918
Motor nucleus of trigeminal,V,-5,5.06,1.61,920
Pons,P,-5,5.61,1.72,884
Motor nucleus of trigeminal,V,-5,4.98,1.75,920
Intertrigeminal nucleus,I5,-5,5.06,1.78,924
Intertrigeminal nucleus,I5,-5,5.34,1.79,924
Intertrigeminal nucleus,I5,-5,5.03,1.81,924
Intertrigeminal nucleus,I5,-5,5.13,1.81,924
Principal sensory nucleus of the trigeminal,PSV,-5,5.18,1.93,890
Principal sensory nucleus of the trigeminal,PSV,-5,5.06,2.31,890
Koelliker-Fuse subnucleus,KF,-5.08,4.77,-2.14,892
Principal sensory nucleus of the trigeminal,PSV,-5.08,5.42,-2.02,890
Principal sensory nucleus of the trigeminal,PSV,-5.08,5.67,-1.94,890
Pons,P,-5.08,4.83,-1.87,884
Intertrigeminal nucleus,I5,-5.08,5.24,-1.86,924
Intertrigeminal nucleus,I5,-5.08,5.32,-1.85,924
Intertrigeminal nucleus,I5,-5.08,5.28,-1.8,924
Intertrigeminal nucleus,I5,-5.08,5.23,-1.8,924
Pons,P,-5.08,4.95,-1.78,884
Pons,P,-5.08,4.74,-1.68,884
Parvicellular reticular nucleus,PARN,-5.08,5.82,-1.64,989
Motor nucleus of trigeminal,V,-5.08,4.98,-1.62,920
Parvicellular reticular nucleus,PARN,-5.08,5.9,-1.62,989
Supratrigeminal nucleus,SUT,-5.08,4.88,-1.55,918
Motor nucleus of trigeminal,V,-5.08,4.99,-1.55,920
Motor nucleus of trigeminal,V,-5.08,5.09,-1.5,920
Motor nucleus of trigeminal,V,-5.08,5.05,-1.49,920
Supratrigeminal nucleus,SUT,-5.08,4.88,-1.45,918
facial nerve,VIIn,-5.08,5.88,-1.42,1131
Intermediate reticular nucleus,IRN,-5.08,6.16,-1.34,979
Pons,P,-5.08,5.3,-1.3,884
Pons,P,-5.08,5.61,-1.3,884
Peritrigeminal zone,P5,-5.08,5.39,-1.26,921
Pontine reticular nucleus caudal part,PRNc,-5.08,5.34,-0.98,914
Pontine reticular nucleus caudal part,PRNc,-5.08,6.8,-0.86,914
Pontine reticular nucleus caudal part,PRNc,-5.08,5.8,-0.64,914
Pontine reticular nucleus caudal part,PRNc,-5.08,5.75,-0.55,914
Pontine reticular nucleus caudal part,PRNc,-5.08,6.54,-0.49,914
Magnocellular reticular nucleus,MARN,-5.08,6.71,-0.32,985
crossed tectospinal pathway,tspc,-5.08,5.88,-0.22,1230
Gigantocellular reticular nucleus,GRN,-5.08,6.4,0.07,976
Pons,P,-5.08,5.34,0.15,884
crossed tectospinal pathway,tspc,-5.08,5.47,0.23,1230
Pontine reticular nucleus caudal part,PRNc,-5.08,5.7,0.57,914
Pontine reticular nucleus caudal part,PRNc,-5.08,6.38,0.59,914
Pontine reticular nucleus caudal part,PRNc,-5.08,5.78,0.63,914
Pontine reticular nucleus caudal part,PRNc,-5.08,6.71,0.81,914
Pons,P,-5.08,4.85,0.86,884
Pontine reticular nucleus caudal part,PRNc,-5.08,5.33,0.87,914
Pontine reticular nucleus caudal part,PRNc,-5.08,5.48,0.89,914
Pontine reticular nucleus caudal part,PRNc,-5.08,5.15,0.97,914
Pons,P,-5.08,4.93,1,884
Pontine reticular nucleus caudal part,PRNc,-5.08,5.4,1.01,914
Pontine reticular nucleus caudal part,PRNc,-5.08,6.18,1.04,914
Pons,P,-5.08,4.89,1.08,884
Pons,P,-5.08,4.85,1.11,884
Intermediate reticular nucleus,IRN,-5.08,6.18,1.14,979
Pons,P,-5.08,5.1,1.16,884
Accessory facial motor nucleus,ACVII,-5.08,6.29,1.17,969
Facial motor nucleus,VII,-5.08,6.63,1.24,968
Pons,P,-5.08,5.04,1.3,884
Pons,P,-5.08,4.92,1.29,884
Motor nucleus of trigeminal,V,-5.08,4.99,1.42,920
Motor nucleus of trigeminal,V,-5.08,5.08,1.46,920
Motor nucleus of trigeminal,V,-5.08,5.16,1.47,920
Parvicellular reticular nucleus,PARN,-5.08,5.83,1.47,989
Intermediate reticular nucleus,IRN,-5.08,6.35,1.51,979
Motor nucleus of trigeminal,V,-5.08,5.05,1.6,920
Parvicellular reticular nucleus,PARN,-5.08,5.55,1.61,989
Motor nucleus of trigeminal,V,-5.08,5.1,1.64,920
Principal sensory nucleus of the trigeminal,PSV,-5.08,5.22,1.9,890
Principal sensory nucleus of the trigeminal,PSV,-5.08,4.89,2.03,890
Pons,P,-5.08,5.56,2.22,884
Pons,P,-5.16,5.62,-2.17,884
Principal sensory nucleus of the trigeminal,PSV,-5.16,5.53,-2.14,890
Principal sensory nucleus of the trigeminal,PSV,-5.16,5.5,-2.05,890
Koelliker-Fuse subnucleus,KF,-5.16,4.86,-1.9,892
Koelliker-Fuse subnucleus,KF,-5.16,4.78,-1.86,892
Principal sensory nucleus of the trigeminal,PSV,-5.16,5.62,-1.86,890
Principal sensory nucleus of the trigeminal,PSV,-5.16,5.83,-1.86,890
Parvicellular reticular nucleus,PARN,-5.16,5.8,-1.71,989
Pons,P,-5.16,4.74,-1.57,884
Parvicellular reticular nucleus,PARN,-5.16,5.47,-1.55,989
Parvicellular reticular nucleus,PARN,-5.16,5.53,-1.5,989
Pons,P,-5.16,4.61,-1.49,884
Parvicellular reticular nucleus,PARN,-5.16,5.77,-1.43,989
Pons,P,-5.16,4.87,-1.39,884
Pons,P,-5.16,4.99,-1.39,884
Parvicellular reticular nucleus,PARN,-5.16,5.26,-1.33,989
facial nerve,VIIn,-5.16,5.84,-1.33,1131
facial nerve,VIIn,-5.16,5.78,-1.29,1131
Pons,P,-5.16,4.88,-1.28,884
Medulla,MY,-5.16,5.56,-1.27,936
facial nerve,VIIn,-5.16,5.68,-1.25,1131
Intermediate reticular nucleus,IRN,-5.16,5.83,-1.22,979
Pons,P,-5.16,5.26,-1.08,884
Intermediate reticular nucleus,IRN,-5.16,6.46,-1.05,979
Pontine reticular nucleus caudal part,PRNc,-5.16,5.83,-0.91,914
Pontine reticular nucleus caudal part,PRNc,-5.16,6.32,-0.82,914
Nucleus raphe magnus,RM,-5.16,6.36,-0.04,1012
Gigantocellular reticular nucleus,GRN,-5.16,6.35,0.23,976
Magnocellular reticular nucleus,MARN,-5.16,6.68,0.34,985
Pontine reticular nucleus caudal part,PRNc,-5.16,5.97,0.44,914
Pontine reticular nucleus caudal part,PRNc,-5.16,5.25,0.65,914
Sublaterodorsal nucleus,SLD,-5.16,4.63,0.85,935
Pontine reticular nucleus caudal part,PRNc,-5.16,6.11,0.86,914
Subceruleus nucleus,SLC,-5.16,4.8,0.93,934
Parabrachial nucleus,PB,-5.16,4.18,0.95,891
Intermediate reticular nucleus,IRN,-5.16,6.42,0.98,979
Pons,P,-5.16,5.24,1.12,884
Pons,P,-5.16,4.71,1.17,884
Intermediate reticular nucleus,IRN,-5.16,6.07,1.24,979
Intermediate reticular nucleus,IRN,-5.16,6.26,1.24,979
facial nerve,VIIn,-5.16,5.69,1.27,1131
facial nerve,VIIn,-5.16,5.88,1.32,1131
Parvicellular reticular nucleus,PARN,-5.16,5.6,1.34,989
facial nerve,VIIn,-5.16,5.8,1.37,1131
Intermediate reticular nucleus,IRN,-5.16,6.25,1.44,979
Parvicellular reticular nucleus,PARN,-5.16,5.69,1.5,989
Pons,P,-5.16,4.84,1.54,884
Parvicellular reticular nucleus,PARN,-5.16,5.65,1.56,989
Parvicellular reticular nucleus,PARN,-5.16,5.23,1.61,989
Parvicellular reticular nucleus,PARN,-5.16,5.59,1.62,989
Pons,P,-5.16,4.69,1.64,884
Parvicellular reticular nucleus,PARN,-5.16,5.32,1.72,989
Parvicellular reticular nucleus,PARN,-5.16,5.45,1.72,989
Pons,P,-5.16,4.77,1.74,884
Parvicellular reticular nucleus,PARN,-5.16,5.81,1.74,989
Parvicellular reticular nucleus,PARN,-5.16,5.53,1.75,989
Parabrachial nucleus,PB,-5.16,4.62,1.8,891
Pons,P,-5.16,5.2,1.81,884
Pons,P,-5.16,5.11,1.84,884
Koelliker-Fuse subnucleus,KF,-5.16,4.67,1.91,892
Koelliker-Fuse subnucleus,KF,-5.16,4.65,1.94,892
Koelliker-Fuse subnucleus,KF,-5.16,4.79,1.94,892
Koelliker-Fuse subnucleus,KF,-5.16,4.77,2.11,892
Principal sensory nucleus of the trigeminal,PSV,-5.16,5.32,2.14,890
Pons,P,-5.16,5.12,2.4,884
spinal tract of the trigeminal nerve,sptV,-5.24,5.55,-2.16,1130
Principal sensory nucleus of the trigeminal,PSV,-5.24,5.52,-2,890
Koelliker-Fuse subnucleus,KF,-5.24,4.79,-1.99,892
Koelliker-Fuse subnucleus,KF,-5.24,4.91,-1.99,892
Principal sensory nucleus of the trigeminal,PSV,-5.24,5.65,-1.94,890
Medulla,MY,-5.24,6.55,-1.76,936
Parvicellular reticular nucleus,PARN,-5.24,5.17,-1.64,989
Parvicellular reticular nucleus,PARN,-5.24,5.36,-1.56,989
Parvicellular reticular nucleus,PARN,-5.24,5.46,-1.55,989
Parvicellular reticular nucleus,PARN,-5.24,5.77,-1.55,989
Medial vestibular nucleus,MV,-5.24,4.99,-1.49,1004
Parvicellular reticular nucleus,PARN,-5.24,5.86,-1.45,989
Parvicellular reticular nucleus,PARN,-5.24,5.23,-1.42,989
Parvicellular reticular nucleus,PARN,-5.24,6.11,-1.43,989
Parvicellular reticular nucleus,PARN,-5.24,5.79,-1.32,989
Parvicellular reticular nucleus,PARN,-5.24,5.4,-1.31,989
Medulla,MY,-5.24,5.85,-1.29,936
Parvicellular reticular nucleus,PARN,-5.24,5.41,-1.26,989
Intermediate reticular nucleus,IRN,-5.24,5.76,-1.2,979
Intermediate reticular nucleus,IRN,-5.24,6.47,-1.11,979
Subceruleus nucleus,SLC,-5.24,4.65,-1.03,934
Gigantocellular reticular nucleus,GRN,-5.24,6.34,-0.12,976
Nucleus raphe magnus,RM,-5.24,6.64,0.01,1012
Gigantocellular reticular nucleus,GRN,-5.24,6.46,0.15,976
Gigantocellular reticular nucleus,GRN,-5.24,5.96,0.31,976
Intermediate reticular nucleus,IRN,-5.24,5.99,1.24,979
Medial vestibular nucleus,MV,-5.24,4.66,1.29,1004
Intermediate reticular nucleus,IRN,-5.24,5.94,1.31,979
Intermediate reticular nucleus,IRN,-5.24,6.02,1.34,979
Parvicellular reticular nucleus,PARN,-5.24,5.6,1.4,989
Parvicellular reticular nucleus,PARN,-5.24,5.26,1.59,989
Medial vestibular nucleus,MV,-5.24,5.04,1.61,1004
Parvicellular reticular nucleus,PARN,-5.24,5.33,1.62,989
Parabrachial nucleus,PB,-5.24,4.63,1.68,891
Parvicellular reticular nucleus,PARN,-5.24,5.33,1.74,989
Parabrachial nucleus,PB,-5.24,4.61,1.78,891
Principal sensory nucleus of the trigeminal,PSV,-5.24,5.43,1.83,890
Koelliker-Fuse subnucleus,KF,-5.24,4.8,1.86,892
Principal sensory nucleus of the trigeminal,PSV,-5.24,5.42,1.9,890
Pons,P,-5.24,5.07,1.93,884
Koelliker-Fuse subnucleus,KF,-5.24,4.83,2.11,892
spinal tract of the trigeminal nerve,sptV,-5.24,5.61,2.22,1130
spinal tract of the trigeminal nerve,sptV,-5.32,5.36,-2.17,1130
Pons,P,-5.32,5.04,-2.15,884
spinal tract of the trigeminal nerve,sptV,-5.32,5.53,-2.14,1130
Medulla,MY,-5.32,5.13,-1.99,936
Pons,P,-5.32,5.07,-1.97,884
Spinal nucleus of the trigeminal oral part,SPVO,-5.32,5.3,-1.95,957
Spinal nucleus of the trigeminal oral part,SPVO,-5.32,5.27,-1.85,957
Spinal nucleus of the trigeminal oral part,SPVO,-5.32,5.34,-1.69,957
Medial vestibular nucleus,MV,-5.32,5.12,-1.68,1004
Parvicellular reticular nucleus,PARN,-5.32,5.66,-1.63,989
Parvicellular reticular nucleus,PARN,-5.32,5.73,-1.61,989
Parvicellular reticular nucleus,PARN,-5.32,5.33,-1.6,989
Parvicellular reticular nucleus,PARN,-5.32,5.23,-1.54,989
Parvicellular reticular nucleus,PARN,-5.32,5.15,-1.52,989
Parvicellular reticular nucleus,PARN,-5.32,5.21,-1.49,989
Parvicellular reticular nucleus,PARN,-5.32,5.31,-1.48,989
Parvicellular reticular nucleus,PARN,-5.32,5.85,-1.44,989
Parvicellular reticular nucleus,PARN,-5.32,5.41,-1.41,989
Parvicellular reticular nucleus,PARN,-5.32,5.48,-1.4,989
Parvicellular reticular nucleus,PARN,-5.32,5.67,-1.39,989
Parabrachial nucleus,PB,-5.32,4.34,-1.35,891
Parvicellular reticular nucleus,PARN,-5.32,5.65,-1.34,989
Parvicellular reticular nucleus,PARN,-5.32,5.25,-1.31,989
Intermediate reticular nucleus,IRN,-5.32,5.96,-1.26,979
Intermediate reticular nucleus,IRN,-5.32,6.19,-1.25,979
Intermediate reticular nucleus,IRN,-5.32,5.91,-1.08,979
Medial vestibular nucleus,MV,-5.32,4.62,-1.06,1004
Intermediate reticular nucleus,IRN,-5.32,5.85,-1.03,979
Medulla,MY,-5.32,5.08,-0.88,936
Sublaterodorsal nucleus,SLD,-5.32,4.65,-0.77,935
Abducens nucleus,VI,-5.32,5.28,-0.46,966
Gigantocellular reticular nucleus,GRN,-5.32,5.93,-0.24,976
Gigantocellular reticular nucleus,GRN,-5.32,6.36,-0.22,976
Gigantocellular reticular nucleus,GRN,-5.32,5.73,0.37,976
Gigantocellular reticular nucleus,GRN,-5.32,5.43,0.54,976
Medulla,MY,-5.32,5.26,0.62,936
Gigantocellular reticular nucleus,GRN,-5.32,5.87,0.67,976
Intermediate reticular nucleus,IRN,-5.32,6.16,0.85,979
Intermediate reticular nucleus,IRN,-5.32,5.64,0.87,979
Subceruleus nucleus,SLC,-5.32,4.75,0.93,934
Pons,P,-5.32,4.42,1.08,884
Parvicellular reticular nucleus,PARN,-5.32,5.25,1.09,989
Intermediate reticular nucleus,IRN,-5.32,5.96,1.1,979
Parvicellular reticular nucleus,PARN,-5.32,5.58,1.21,989
Facial motor nucleus,VII,-5.32,6.47,1.26,968
Parvicellular reticular nucleus,PARN,-5.32,5.48,1.29,989
Parvicellular reticular nucleus,PARN,-5.32,5.74,1.32,989
Parvicellular reticular nucleus,PARN,-5.32,5.38,1.36,989
Intermediate reticular nucleus,IRN,-5.32,6.31,1.36,979
Parvicellular reticular nucleus,PARN,-5.32,5.6,1.41,989
Parvicellular reticular nucleus,PARN,-5.32,5.78,1.47,989
Parvicellular reticular nucleus,PARN,-5.32,5.88,1.56,989
Parvicellular reticular nucleus,PARN,-5.32,5.55,1.59,989
Parvicellular reticular nucleus,PARN,-5.32,5.71,1.61,989
Parvicellular reticular nucleus,PARN,-5.32,5.84,1.68,989
Spinal nucleus of the trigeminal oral part,SPVO,-5.32,5.34,1.76,957
Spinal nucleus of the trigeminal oral part,SPVO,-5.32,5.38,1.77,957
Spinal nucleus of the trigeminal oral part,SPVO,-5.32,5.51,1.77,957
Pons,P,-5.32,5.08,2.05,884
